"","colnames(df_sel)"
"202","Peak_Rating_241018_IP_HAM-CSF_RP-pos_48_H089-89raw_(F44)"
"203","Peak_Rating_241018_IP_HAM-CSF_RP-pos_49_H089-66raw_(F45)"
"204","Peak_Rating_241018_IP_HAM-CSF_RP-pos_50_H089-78raw_(F46)"
"205","Peak_Rating_241018_IP_HAM-CSF_RP-pos_51_H089-90raw_(F47)"
"206","Peak_Rating_241018_IP_HAM-CSF_RP-pos_52_H089-67raw_(F48)"
"207","Peak_Rating_241018_IP_HAM-CSF_RP-pos_53_H089-79raw_(F49)"
"208","Peak_Rating_241018_IP_HAM-CSF_RP-pos_54_QCraw_(F50)"
"209","Peak_Rating_241018_IP_HAM-CSF_RP-pos_55_H089-91raw_(F51)"
"210","Peak_Rating_241018_IP_HAM-CSF_RP-pos_56_H089-68raw_(F52)"
"211","Peak_Rating_241018_IP_HAM-CSF_RP-pos_57_H089-80raw_(F53)"
"212","Peak_Rating_241018_IP_HAM-CSF_RP-pos_58_H089-92raw_(F54)"
"213","Peak_Rating_241018_IP_HAM-CSF_RP-pos_59_H040-1raw_(F55)"
"214","Peak_Rating_241018_IP_HAM-CSF_RP-pos_60_H040-13raw_(F56)"
"215","Peak_Rating_241018_IP_HAM-CSF_RP-pos_61_H040-25raw_(F57)"
"216","Peak_Rating_241018_IP_HAM-CSF_RP-pos_62_H040-37raw_(F58)"
"217","Peak_Rating_241018_IP_HAM-CSF_RP-pos_63_H089-9raw_(F59)"
"218","Peak_Rating_241018_IP_HAM-CSF_RP-pos_64_H089-21raw_(F60)"
"219","Peak_Rating_241018_IP_HAM-CSF_RP-pos_65_H089-33raw_(F61)"
"220","Peak_Rating_241018_IP_HAM-CSF_RP-pos_66_H089-45raw_(F62)"
"221","Peak_Rating_241018_IP_HAM-CSF_RP-pos_67_QCraw_(F63)"
"222","Peak_Rating_241018_IP_HAM-CSF_RP-pos_68_H040-2raw_(F64)"
"223","Peak_Rating_241018_IP_HAM-CSF_RP-pos_69_H040-14raw_(F65)"
"224","Peak_Rating_241018_IP_HAM-CSF_RP-pos_70_H040-26raw_(F66)"
"225","Peak_Rating_241018_IP_HAM-CSF_RP-pos_71_H040-38raw_(F67)"
"226","Peak_Rating_241018_IP_HAM-CSF_RP-pos_72_H089-10raw_(F68)"
"227","Peak_Rating_241018_IP_HAM-CSF_RP-pos_73_H089-22raw_(F69)"
"228","Peak_Rating_241018_IP_HAM-CSF_RP-pos_74_H089-34raw_(F70)"
"229","Peak_Rating_241018_IP_HAM-CSF_RP-pos_75_H089-46raw_(F71)"
"230","Peak_Rating_241018_IP_HAM-CSF_RP-pos_76_H040-3raw_(F72)"
"231","Peak_Rating_241018_IP_HAM-CSF_RP-pos_77_H040-15raw_(F73)"
"232","Peak_Rating_241018_IP_HAM-CSF_RP-pos_78_H040-27raw_(F74)"
"233","Peak_Rating_241018_IP_HAM-CSF_RP-pos_79_H040-39raw_(F75)"
"234","Peak_Rating_241018_IP_HAM-CSF_RP-pos_80_H089-11raw_(F76)"
"235","Peak_Rating_241018_IP_HAM-CSF_RP-pos_81_H089-23raw_(F77)"
"236","Peak_Rating_241018_IP_HAM-CSF_RP-pos_82_H089-35raw_(F78)"
"237","Peak_Rating_241018_IP_HAM-CSF_RP-pos_83_H089-47raw_(F79)"
"238","Peak_Rating_241018_IP_HAM-CSF_RP-pos_84_QCraw_(F80)"
"239","Peak_Rating_241018_IP_HAM-CSF_RP-pos_85_H040-4raw_(F81)"
"240","Peak_Rating_241018_IP_HAM-CSF_RP-pos_86_H040-16raw_(F82)"
"241","Peak_Rating_241018_IP_HAM-CSF_RP-pos_87_H040-28raw_(F83)"
"242","Peak_Rating_241018_IP_HAM-CSF_RP-pos_88_H040-40raw_(F84)"
"243","Peak_Rating_241018_IP_HAM-CSF_RP-pos_89_H089-12raw_(F85)"
"244","Peak_Rating_241018_IP_HAM-CSF_RP-pos_90_H089-24raw_(F86)"
"245","Peak_Rating_241018_IP_HAM-CSF_RP-pos_91_H089-36raw_(F87)"
