"","tag","Metabolite","Max_Correlation","mean_top5","min_top5","Lag","ci_lower","ci_upper","significant","Phase_deg","Phase_rad","Timing","Amplitude"
"258","F","326.13426/8.219",0.542377934057075,0.503244147561742,0.478295494363889,-18,-0.273840223361405,0.275709607016475,TRUE,235.384615384615,4.10823654700204,"Precedes Tb",1.50554922917006
"259","B","Np-020515",0.53976689561237,0.531737815076931,0.513222320987972,22,-0.269683174913995,0.274615142921993,TRUE,152.307692307692,2.65827070688367,"After Tb",1.24831228864758
"260","F","339.92503/0.873",0.538947456420207,0.502241133209065,0.465328850230707,1,-0.280570879949569,0.281764619342419,TRUE,6.92307692307692,0.120830486676531,"Synchronous",1.8629598255603
"261","F","335.19454/5.139",0.538732594242535,0.508144754627563,0.478047061992083,-1,-0.27796704177792,0.271591217989474,TRUE,353.076923076923,6.16235482050306,"Synchronous",1.49697834267027
"262","F","190.12055/3.48",0.535650582849626,0.508890169430898,0.470597874307354,19,-0.273342331325302,0.275714880002982,TRUE,131.538461538462,2.29577924685408,"After Tb",1.67779946393073
"263","F","Cis-Trihomoaconitic Acid",0.53544076596227,0.525888226662868,0.50599412077103,22,-0.274260217865914,0.269666965443062,TRUE,152.307692307692,2.65827070688367,"After Tb",2.04975596327045
"264","F","326.13429/6.743",0.533485139931031,0.523979901397162,0.519386902811432,25,-0.27545505335573,0.279347661340099,TRUE,173.076923076923,3.02076216691326,"After Tb",1.8377353427628
"265","F","264.09743/4.104",0.532560235042108,0.524544965135296,0.519722427253464,25,-0.27670645904989,0.278713382272647,TRUE,173.076923076923,3.02076216691326,"After Tb",1.81741774445381
"266","F","340.15/8.654",0.532261908825911,0.518913500820978,0.49781465863334,-18,-0.275057117909014,0.278070746081259,TRUE,235.384615384615,4.10823654700204,"Precedes Tb",2.04920837642347
"267","F","291.16825/2.256",0.532241236635558,0.498565529273488,0.465049922197911,1,-0.273316201808527,0.27486742462516,TRUE,6.92307692307692,0.120830486676531,"Synchronous",1.65678946699602
"268","F","Dibenzothiophene 5-Oxide",0.531162914998313,0.525301435552833,0.515718242412367,23,-0.271763993554789,0.273427465897495,TRUE,159.230769230769,2.7791011935602,"After Tb",2.54935502180272
"269","F","207.14713/3.48",0.530194558228348,0.496900518696871,0.479751283105497,19,-0.266853346203005,0.269733148074541,TRUE,131.538461538462,2.29577924685408,"After Tb",1.85799259664021
"270","F","326.13423/8.524",0.529986075377781,0.483961565370587,0.428726455880584,-18,-0.270709582479546,0.277507350563006,TRUE,235.384615384615,4.10823654700204,"Precedes Tb",1.7256194740051
"271","E","324.11864/6.703",0.529156269685716,0.503211223587084,0.484936445814255,-27,-0.277373167117455,0.279110443938858,TRUE,173.076923076923,3.02076216691326,"After Tb",1.99289209655243
"272","D","O-Propenoyl-D-Carnitine",0.528572612712775,0.49485260407322,0.445439137332561,1,-0.274325989281115,0.268452451876132,TRUE,6.92307692307692,0.120830486676531,"Synchronous",1.62185158992701
"273","F","315.1683/7.899",0.528520594072327,0.503728391837698,0.478740372844055,-25,-0.280785246044427,0.275807040361164,TRUE,186.923076923077,3.26242314026632,"Precedes Tb",1.43004585004419
"274","F","273.15769/3.877",0.527828289060847,0.520396092650074,0.514574392279043,20,-0.273838732753879,0.28089652292498,TRUE,138.461538461538,2.41660973353061,"After Tb",1.84121784764511
"275","F","141.94088/0.97",0.527678456822391,0.510608039455445,0.490200461570321,23,-0.277073807018492,0.275043111607553,TRUE,159.230769230769,2.7791011935602,"After Tb",1.98151928143561
"276","F","277.15262/4.59",0.527295391828236,0.519565895102998,0.510409924675987,25,-0.276266554372512,0.275219101828517,TRUE,173.076923076923,3.02076216691326,"After Tb",1.37175148884248
"277","F","252.13382/6.276",0.527126591247634,0.491992532456768,0.437129222826335,-1,-0.278701289393791,0.270390261981803,TRUE,353.076923076923,6.16235482050306,"Synchronous",1.68967058990728
"278","F","323.19454/5.566",0.526674723926264,0.517968288575383,0.507105285542357,0,-0.274149597504917,0.2710025426021,TRUE,0,0,"Synchronous",1.29597138969799
"279","F","422.19194/11.275",0.526115122231375,0.494764856674428,0.449089044468376,-25,-0.272687985544314,0.270214477743102,TRUE,186.923076923077,3.26242314026632,"Precedes Tb",1.99046426015981
"280","F","4-Decyl-3-Hydroxy-5-Oxooxolane-2,3-Dicarboxylic Acid",0.526100130125627,0.499787738930637,0.466421327592809,25,-0.274197337560042,0.276346490946081,TRUE,173.076923076923,3.02076216691326,"After Tb",1.20286842520868
"281","F","296.16011/7.01",0.524295951301041,0.508008312432024,0.494626075650784,-3,-0.277670507110709,0.276273561268922,TRUE,339.230769230769,5.92069384714999,"Precedes Tb",1.89566380885882
"282","F","Butyryl-L-Homoserine Lactone",0.523551048330759,0.456926275063777,0.376779633280111,-13,-0.273365051737525,0.268165300186856,TRUE,270,4.71238898038469,"Precedes Tb",2.08516648954303
"283","F","277.88615/0.891",0.521588869909092,0.515744576481461,0.505922974241113,27,-0.275025508873279,0.276638327970076,TRUE,186.923076923077,3.26242314026632,"Precedes Tb",1.68573198147413
"284","F","352.1864/8.199",0.521182213498831,0.461748537442279,0.392812537107237,0,-0.276084762059438,0.274033057223012,TRUE,0,0,"Synchronous",1.41283362373756
"285","F","323.19458/4.244",0.520789933294796,0.489285948614216,0.438832718644631,1,-0.27337878628864,0.276521600217595,TRUE,6.92307692307692,0.120830486676531,"Synchronous",1.46015316536327
"286","F","321.17888/8.622",0.520556868586712,0.514584518985939,0.500578787525122,-21,-0.279769037084092,0.279622542444766,TRUE,214.615384615385,3.74574508697245,"Precedes Tb",1.87450000947246
"287","F","359.19461/6.271",0.520294573284385,0.51331681288896,0.50689120322853,25,-0.273389860741369,0.277735435238261,TRUE,173.076923076923,3.02076216691326,"After Tb",1.43286259777704
