date,time,datetime,Tb,ID,Sample_nr
31/05/2023,16:01:20,31/05/2023 16:01,35.9,H089,
31/05/2023,16:16:20,31/05/2023 16:16,34.79,H089,
31/05/2023,16:31:21,31/05/2023 16:31,36.17,H089,
31/05/2023,16:46:21,31/05/2023 16:46,34.94,H089,
31/05/2023,17:01:21,31/05/2023 17:01,34.05,H089,
31/05/2023,17:16:22,31/05/2023 17:16,33.59,H089,
31/05/2023,17:31:22,31/05/2023 17:31,33.2,H089,
31/05/2023,17:46:22,31/05/2023 17:46,32.81,H089,
31/05/2023,18:01:23,31/05/2023 18:01,33.15,H089,
31/05/2023,18:16:23,31/05/2023 18:16,34.5,H089,
31/05/2023,18:31:24,31/05/2023 18:31,33.97,H089,
31/05/2023,18:46:24,31/05/2023 18:46,33.99,H089,
31/05/2023,19:01:24,31/05/2023 19:01,33.55,H089,
31/05/2023,19:16:25,31/05/2023 19:16,34.48,H089,
31/05/2023,19:31:25,31/05/2023 19:31,33.95,H089,
31/05/2023,19:46:25,31/05/2023 19:46,33.48,H089,
31/05/2023,20:01:26,31/05/2023 20:01,32.88,H089,
31/05/2023,20:16:26,31/05/2023 20:16,32.84,H089,
31/05/2023,20:31:26,31/05/2023 20:31,32.87,H089,
31/05/2023,20:46:27,31/05/2023 20:46,33.8,H089,
31/05/2023,21:01:27,31/05/2023 21:01,33.59,H089,
31/05/2023,21:16:28,31/05/2023 21:16,35.11,H089,
31/05/2023,21:31:28,31/05/2023 21:31,34.57,H089,
31/05/2023,21:46:28,31/05/2023 21:46,33.57,H089,
31/05/2023,22:01:29,31/05/2023 22:01,33.94,H089,
31/05/2023,22:16:29,31/05/2023 22:16,33.96,H089,
31/05/2023,22:31:29,31/05/2023 22:31,34.82,H089,
31/05/2023,22:46:30,31/05/2023 22:46,33.44,H089,
31/05/2023,23:01:30,31/05/2023 23:01,32.71,H089,
31/05/2023,23:16:30,31/05/2023 23:16,32.97,H089,
31/05/2023,23:31:31,31/05/2023 23:31,32.85,H089,
31/05/2023,23:46:31,31/05/2023 23:46,33.43,H089,
01/06/2023,00:01:31,01/06/2023 00:01,33.53,H089,
01/06/2023,00:16:32,01/06/2023 00:16,33.71,H089,
01/06/2023,00:31:32,01/06/2023 00:31,33.36,H089,
01/06/2023,00:46:33,01/06/2023 00:46,32.77,H089,
01/06/2023,01:01:33,01/06/2023 01:01,32.43,H089,
01/06/2023,01:16:33,01/06/2023 01:16,32.45,H089,
01/06/2023,01:31:34,01/06/2023 01:31,34.4,H089,
01/06/2023,01:46:34,01/06/2023 01:46,34.99,H089,
01/06/2023,02:01:34,01/06/2023 02:01,35.73,H089,
01/06/2023,02:16:35,01/06/2023 02:16,35.73,H089,
01/06/2023,02:31:35,01/06/2023 02:31,34.23,H089,
01/06/2023,02:46:36,01/06/2023 02:46,33.57,H089,
01/06/2023,03:01:36,01/06/2023 03:01,33.37,H089,
01/06/2023,03:16:37,01/06/2023 03:16,33.77,H089,
01/06/2023,03:31:37,01/06/2023 03:31,33.2,H089,
01/06/2023,03:46:38,01/06/2023 03:46,33.38,H089,
01/06/2023,04:01:38,01/06/2023 04:01,35.33,H089,
01/06/2023,04:16:38,01/06/2023 04:16,34.75,H089,
01/06/2023,04:31:39,01/06/2023 04:31,33.93,H089,
01/06/2023,04:46:39,01/06/2023 04:46,33.71,H089,
01/06/2023,05:01:40,01/06/2023 05:01,33.3,H089,
01/06/2023,05:16:40,01/06/2023 05:16,34.44,H089,
01/06/2023,05:31:41,01/06/2023 05:31,33.43,H089,
01/06/2023,05:46:41,01/06/2023 05:46,32.54,H089,
01/06/2023,06:01:42,01/06/2023 06:01,32.17,H089,
01/06/2023,06:16:42,01/06/2023 06:16,31.31,H089,
01/06/2023,06:31:42,01/06/2023 06:31,31.74,H089,
01/06/2023,06:46:43,01/06/2023 06:46,32.46,H089,
01/06/2023,07:01:43,01/06/2023 07:01,32.59,H089,
